core,TD,BD,age,CO2,d18O,dD,CH4,TAC
ALHIC2201,5.722544452347084,,,,,,543.6587683077047,
ALHIC2201,5.737658250355619,,,,,,533.7648785,
ALHIC2201,5.752772048364154,,,,,,524.4112227,
ALHIC2201,5.767885846372688,,,,,,509.9881042481696,
ALHIC2201,5.782999644381223,,,,,,497.62086959240935,
ALHIC2201,5.798113442389759,,,,,,494.04634149862034,
ALHIC2201,5.813227240398293,,,,,,495.2255218168194,
ALHIC2201,5.828341038406828,,,,,,499.51777206392205,
ALHIC2201,5.843454836415362,,,,,,507.10940371011816,
ALHIC2201,5.858568634423897,,,,,,519.6752937779582,
ALHIC2201,5.873682432432433,,,,,,532.6649611665952,
ALHIC2201,5.888796230440967,,,,,,544.9095071248864,
ALHIC2201,5.903910028449502,,,,,,556.8399779093459,
ALHIC2201,5.919023826458037,,,,,,573.9404107494929,
ALHIC2201,5.934137624466572,,,,,,585.7815046182669,
ALHIC2201,5.949251422475107,,,,,,595.9698293617214,
ALHIC2201,5.964365220483641,,,,,,605.6417373,
ALHIC2201,5.979479018492176,,,,,,615.1108700755494,
ALHIC2201,5.994592816500711,,,,,,620.9834317546093,
ALHIC2201,6.009706614509246,,,,,,621.4127695873416,
ALHIC2201,6.024820412517781,,,,,,624.4167312041707,
ALHIC2201,6.039934210526315,,,,,,623.1031081650326,
ALHIC2201,6.055048009,,,,,,623.4719621056429,
ALHIC2201,6.0701618065433856,,,,,,621.4064530029883,
ALHIC2201,6.085275605,,,,,,618.0501498330788,
ALHIC2201,6.100389402560455,,,,,,609.6117444485869,
ALHIC2201,6.115503201,,,,,,603.3753394182526,
ALHIC2201,6.1306169985775245,,,,,,597.9429314298534,
ALHIC2201,6.145730797,,,,,,591.4978378202687,
ALHIC2201,6.160844594594594,,,,,,587.6421768,
ALHIC2201,6.175958392603129,,,,,,586.8629367123748,
ALHIC2201,6.191072190611664,,,,,,589.0447785,
ALHIC2201,6.206185988620199,,,,,,586.7010172844092,
ALHIC2201,6.221299786628734,,,,,,586.3279035441999,
ALHIC2201,6.236413584637269,,,,,,585.1314933842773,
ALHIC2201,6.251527382645803,,,,,,583.6772546969081,
ALHIC2201,6.2666411806543385,,,,,,585.4997868,
ALHIC2201,6.281754978662873,,,,,,584.1911594043444,
ALHIC2201,6.296868776671408,,,,,,586.4840463826135,
ALHIC2201,6.311982574679943,,,,,,585.5327398,
ALHIC2201,6.3270963726884775,,,,,,590.2067595811764,
ALHIC2201,6.342210170697013,,,,,,593.8689668005429,
ALHIC2201,6.357323968705547,,,,,,598.6092326208764,
ALHIC2201,6.372437766714082,,,,,,599.6255228639077,
ALHIC2201,6.387551564722617,,,,,,606.0238416296628,
ALHIC2201,6.402665362731152,,,,,,615.2940116976969,
ALHIC2201,6.417779160739687,,,,,,620.4223478846552,
ALHIC2201,6.432892958748221,,,,,,623.3360940739469,
ALHIC2201,6.448006756756756,,,,,,624.7978782750153,
ALHIC2201,6.463120554765292,,,,,,623.5402487347947,
ALHIC2201,6.478234352773826,,,,,,622.3008105298878,
ALHIC2201,6.493348150782361,,,,,,624.1939543392918,
ALHIC2201,6.508461948790896,,,,,,627.3390571400897,
ALHIC2201,6.523575747,,,,,,625.6526198682955,
ALHIC2201,6.538689544807966,,,,,,627.5784309040184,
ALHIC2201,6.553803343,,,,,,631.4579593102338,
ALHIC2201,6.668469037076202,,,,,,563.5438259387919,
ALHIC2201,6.674450135483444,,,,,,560.6322314,
ALHIC2201,6.680431233890688,,,,,,557.9279019523426,
ALHIC2201,6.686412332297931,,,,,,557.6109920505816,
ALHIC2201,6.692393430705175,,,,,,578.8424682457008,
ALHIC2201,6.698374529112418,,,,,,650.7484951883304,
ALHIC2201,6.704355627519662,,,,,,734.2831177987139,
ALHIC2201,6.710336725926905,,,,,,787.4590847807992,
ALHIC2201,6.716317824334149,,,,,,817.2883131,
ALHIC2201,6.722298922741392,,,,,,824.9441398698134,
ALHIC2201,6.728280021148636,,,,,,820.5382819232105,
ALHIC2201,6.734261119555879,,,,,,807.1055008003023,
ALHIC2201,6.7402422179631225,,,,,,783.9677218067072,
ALHIC2201,6.746223316370365,,,,,,768.3005653471884,
ALHIC2201,6.752204414777609,,,,,,754.3382526160462,
ALHIC2201,6.758185513184852,,,,,,741.0771714075946,
ALHIC2201,6.764166611592096,,,,,,730.7553348109004,
ALHIC2201,6.770147709999339,,,,,,727.1146201474395,
ALHIC2201,6.776128808406583,,,,,,722.9129500036803,
ALHIC2201,6.782109906813826,,,,,,715.1286242352655,
ALHIC2201,6.7880910052210695,,,,,,711.0163934202529,
ALHIC2201,6.794072103628313,,,,,,704.4005559,
ALHIC2201,6.800053202035556,,,,,,697.3611662262454,
ALHIC2201,6.8060343,,,,,,688.8367338862291,
ALHIC2201,6.812015398850043,,,,,,682.4482271436636,
ALHIC2201,6.817996497257287,,,,,,676.6264417689638,
ALHIC2201,6.823977595664529,,,,,,674.4330051,
ALHIC2201,6.829958694071773,,,,,,676.6655920068765,
ALHIC2201,6.835939792479016,,,,,,672.6919313265798,
ALHIC2201,6.841920891,,,,,,671.8532078713176,
ALHIC2201,6.847901989293503,,,,,,667.4812674046527,
ALHIC2201,6.853883087700747,,,,,,664.5733122867466,
ALHIC2201,6.859864186,,,,,,662.7958311172122,
ALHIC2201,6.865845284515234,,,,,,664.4247468402832,
ALHIC2201,6.871826382922477,,,,,,661.5035465481768,
